date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions,new_tests,total_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations
2021-01-01,2680034.0,19358.0,64777.0,133.0,2609.0,24263.0,1173.0,7344.0,33219.0,35927542.0,0.051,19.6,3284.0,3284.0,0.0,1015.0
2021-01-02,2683500.0,3466.0,64933.0,156.0,2632.0,24458.0,1173.0,7477.0,229971.0,36157513.0,0.053,18.9,3662.0,3662.0,0.0,378.0
2021-01-03,2695989.0,12489.0,65049.0,116.0,2665.0,24780.0,1167.0,7545.0,47173.0,36204686.0,0.053,18.9,4141.0,4141.0,0.0,479.0
2021-01-04,2700011.0,4022.0,65427.0,378.0,2657.0,24962.0,1184.0,7590.0,427645.0,36632331.0,0.056,17.9,6251.0,6251.0,0.0,2110.0
2021-01-05,2720744.0,20733.0,66295.0,868.0,2616.0,24871.0,1178.0,7710.0,344235.0,36976566.0,0.058,17.2,12407.0,12407.0,0.0,6156.0
2021-01-06,2745887.0,25143.0,66577.0,282.0,2607.0,24708.0,1203.0,7744.0,312996.0,37289562.0,0.061,16.4,24381.0,24381.0,0.0,11974.0
2021-01-07,2767590.0,21703.0,66853.0,276.0,2573.0,24488.0,1207.0,7868.0,326630.0,37616192.0,0.063,15.9,53754.0,53754.0,0.0,29373.0
2021-01-08,2787404.0,19814.0,67443.0,590.0,2606.0,24377.0,1353.0,8636.0,350028.0,37966220.0,0.063,15.9,90857.0,90857.0,0.0,37103.0
2021-01-09,2807581.0,20177.0,67611.0,168.0,2600.0,24240.0,1395.0,8934.0,188814.0,38155034.0,0.063,15.9,102062.0,102062.0,0.0,11205.0
2021-01-10,2823525.0,15944.0,67762.0,151.0,2620.0,24526.0,1412.0,9006.0,42285.0,38197319.0,0.063,15.9,108062.0,108062.0,0.0,6000.0
2021-01-11,2827242.0,3717.0,68072.0,310.0,2666.0,24812.0,1374.0,9033.0,396962.0,38594281.0,0.063,15.9,147958.0,147958.0,0.0,39896.0
2021-01-12,2846936.0,19694.0,68814.0,742.0,2678.0,24703.0,1387.0,8946.0,337656.0,38931937.0,0.063,15.9,210016.0,210016.0,0.0,62058.0
2021-01-13,2870788.0,23852.0,69043.0,229.0,2701.0,24735.0,1361.0,9096.0,312625.0,39244562.0,0.063,15.9,275030.0,275030.0,0.0,65014.0
2021-01-14,2892016.0,21228.0,69325.0,282.0,2716.0,24983.0,1386.0,9346.0,322335.0,39566897.0,0.063,15.9,358099.0,358099.0,0.0,83069.0
2021-01-15,2913287.0,21271.0,69961.0,636.0,2730.0,25009.0,1390.0,9535.0,350021.0,39916918.0,0.064,15.6,427035.0,427035.0,0.0,68936.0
2021-01-16,2934693.0,21406.0,70154.0,193.0,2731.0,24985.0,1435.0,9790.0,198230.0,40115148.0,0.064,15.6,447303.0,447220.0,83.0,20268.0
2021-01-17,2951335.0,16642.0,70295.0,141.0,2766.0,25235.0,1453.0,9759.0,44619.0,40159767.0,0.064,15.6,458335.0,458211.0,124.0,11032.0
2021-01-18,2955071.0,3736.0,70698.0,403.0,2803.0,25584.0,1499.0,10136.0,397123.0,40556890.0,0.066,15.2,544270.0,543988.0,282.0,85935.0
2021-01-19,2979094.0,24023.0,71354.0,656.0,2829.0,25532.0,1556.0,10471.0,336768.0,40893658.0,0.068,14.7,674937.0,674532.0,405.0,130667.0
2021-01-20,3005852.0,26758.0,71664.0,310.0,2842.0,25650.0,1640.0,10794.0,320195.0,41213853.0,0.068,14.7,812598.0,812039.0,559.0,137661.0
2021-01-21,3028439.0,22587.0,72010.0,346.0,2866.0,25699.0,1687.0,10862.0,339876.0,41553729.0,0.069,14.5,971030.0,970342.0,688.0,158432.0
2021-01-22,3051731.0,23292.0,72659.0,649.0,2902.0,25872.0,1708.0,11089.0,382297.0,41936026.0,0.068,14.7,1092151.0,1091303.0,848.0,121121.0
2021-01-23,3075824.0,24093.0,72889.0,230.0,2886.0,25864.0,1692.0,11064.0,201342.0,42137368.0,0.069,14.5,1130634.0,1129736.0,898.0,38483.0
2021-01-24,3094260.0,18436.0,73061.0,172.0,2955.0,26357.0,1731.0,11284.0,42546.0,42179914.0,0.069,14.5,1140405.0,1139480.0,925.0,9771.0
2021-01-25,3098500.0,4240.0,73506.0,445.0,3031.0,26888.0,1776.0,11391.0,431063.0,42610977.0,0.068,14.7,1219813.0,1217680.0,2133.0,79408.0
2021-01-26,3120586.0,22086.0,74118.0,612.0,3071.0,27005.0,1804.0,11402.0,359201.0,42970178.0,0.068,14.7,1323228.0,1317995.0,5233.0,103415.0
2021-01-27,3147502.0,26916.0,74468.0,350.0,3097.0,27131.0,1830.0,11424.0,339921.0,43310099.0,0.067,14.9,1435983.0,1425172.0,10811.0,112755.0
2021-01-28,3171272.0,23770.0,74812.0,344.0,3101.0,27128.0,1849.0,11391.0,384735.0,43694834.0,0.065,15.4,1574593.0,1549460.0,25133.0,138610.0
2021-01-29,3194477.0,23205.0,75633.0,821.0,3120.0,27270.0,1850.0,11353.0,414021.0,44108855.0,0.064,15.6,1683961.0,1641580.0,42381.0,109368.0
2021-01-30,3218522.0,24045.0,75874.0,241.0,3103.0,27242.0,1870.0,11355.0,216809.0,44325664.0,0.064,15.6,1717248.0,1670659.0,46589.0,33287.0
2021-01-31,3237858.0,19336.0,76069.0,195.0,3148.0,27573.0,1843.0,11253.0,44476.0,44370140.0,0.064,15.6,1724122.0,1675858.0,48264.0,6874.0
2021-02-01,3242205.0,4347.0,76524.0,455.0,3218.0,27874.0,1862.0,11230.0,441380.0,44811520.0,0.064,15.6,1798568.0,1729227.0,69341.0,74446.0
2021-02-02,3265542.0,23337.0,77250.0,726.0,3270.0,28029.0,1888.0,11413.0,384641.0,45196161.0,0.064,15.6,1905320.0,1801490.0,103830.0,106752.0
2021-02-03,3291904.0,26362.0,77607.0,357.0,3267.0,27953.0,1845.0,11362.0,350023.0,45546184.0,0.063,15.9,2014441.0,1873719.0,140722.0,109121.0
2021-02-04,3291904.0,0.0,77607.0,0.0,3240.0,27766.0,1848.0,11388.0,378658.0,45924842.0,0.063,15.9,2146310.0,1955649.0,190661.0,131869.0
2021-02-05,3337491.0,45587.0,78615.0,1008.0,3235.0,27572.0,1832.0,11284.0,422266.0,46347108.0,0.061,16.4,2259727.0,2023838.0,235889.0,113417.0
2021-02-06,3358077.0,20586.0,78806.0,191.0,3215.0,27327.0,1808.0,11234.0,222052.0,46569160.0,0.061,16.4,2293225.0,2046973.0,246252.0,33498.0
2021-02-07,3377792.0,19715.0,78977.0,171.0,3262.0,27652.0,1820.0,11208.0,43371.0,46612531.0,0.06,16.7,2303399.0,2052116.0,251283.0,10174.0
2021-02-08,3382109.0,4317.0,79435.0,458.0,3353.0,27995.0,1858.0,11351.0,427443.0,47039974.0,0.059,16.9,2395984.0,2098810.0,297174.0,92585.0
2021-02-09,3401113.0,19004.0,80159.0,724.0,3332.0,27634.0,1823.0,11093.0,379381.0,47419355.0,0.058,17.2,2534187.0,2164737.0,369450.0,138203.0
2021-02-10,3426500.0,25387.0,80455.0,296.0,3309.0,27417.0,1830.0,10736.0,345271.0,47764626.0,0.057,17.5,2681492.0,2235519.0,445973.0,147305.0
2021-02-11,3447563.0,21063.0,80815.0,360.0,3327.0,26963.0,1824.0,10602.0,363138.0,48127764.0,0.056,17.9,2867560.0,2322645.0,544915.0,186068.0
2021-02-12,3468264.0,20701.0,81460.0,645.0,3298.0,26424.0,1833.0,10288.0,402956.0,48530720.0,0.055,18.2,3020829.0,2401809.0,619020.0,153269.0
2021-02-13,3489495.0,21231.0,81659.0,199.0,3294.0,26196.0,1856.0,10247.0,216134.0,48746854.0,0.054,18.5,3062588.0,2424109.0,638479.0,41759.0
2021-02-14,3506170.0,16675.0,81826.0,167.0,3299.0,26401.0,1809.0,10108.0,42733.0,48789587.0,0.054,18.5,3074795.0,2429137.0,645658.0,12207.0
2021-02-15,3510546.0,4376.0,82238.0,412.0,3371.0,26478.0,1759.0,9646.0,420200.0,49209787.0,0.054,18.5,3189122.0,2467110.0,722012.0,114327.0
2021-02-16,3530136.0,19590.0,82824.0,586.0,3338.0,26195.0,1748.0,9572.0,360977.0,49570764.0,0.055,18.2,3339882.0,2517372.0,822510.0,150760.0
2021-02-17,3555154.0,25018.0,83134.0,310.0,3340.0,25929.0,1777.0,9606.0,338255.0,49909019.0,0.055,18.2,3493059.0,2567770.0,925288.0,153177.0
2021-02-18,3577655.0,22501.0,83405.0,271.0,3384.0,25717.0,1770.0,9478.0,362499.0,50271518.0,0.057,17.5,3680961.0,2637359.0,1043601.0,187902.0
2021-02-19,3601771.0,24116.0,83976.0,571.0,3380.0,25506.0,1815.0,9616.0,404684.0,50676202.0,0.058,17.2,3836495.0,2702336.0,1134157.0,155534.0
